0.93644,-0.091579,-0.75959
0.68096,1.3215,-0.56903
0.72831,2.3654,-0.09842
1.3215,2.3111,1.7215
2.1323,1.021,1.6103
1.9025,1.0481,-0.56998
0.98544,0.84117,-0.037528
1.4213,0.057198,1.1227
1.7848,0.71953,0.25837
1.6905,0.89865,0.84878
1.6131,1.8448,0.4221
2.4124,0.59692,4.0768
2.959,0.13654,0.104
1.8705,0.54279,0.16968
1.1616,1.7482,-0.3578
0.50509,0.18585,-0.88803
0.38409,-0.051639,-0.87625
1.1883,1.7023,1.2422
1.6366,0.92828,-0.11981
0.70051,0.52814,-1.4516
-0.32306,0.69191,-2.2937
-0.3872,1.1445,-1.1531
0.64082,2.1715,1.331
1.3087,1.0738,0.10122
1.2105,-0.077722,0.21587
1.2277,0.29972,-0.37967
0.59096,-0.50916,-1.1702
0.39394,-0.74555,-1.0672
0.81921,0.75841,-0.034162
1.3579,0.46714,0.68617
1.7418,1.6421,0.2003
1.5074,0.78686,0.94067
1.5326,0.096107,-0.43572
1.0195,0.64939,-0.19763
1.162,-0.29797,0.035524
1.4755,0.63606,0.26059
1.7849,1.1002,1.3469
1.5329,0.27942,-0.31336
1.4939,0.58661,0.96651
2.0808,1.2633,1.3635
1.5247,-1.1556,-0.098003
2.0943,0.2517,1.4561
2.5132,2.2898,1.5169
2.3314,0.76521,1.8146
2.9841,0.40528,2.3546
3.0881,-0.053934,2.0727
2.592,-0.49284,0.21379
1.8929,0.19846,0.057578
1.4318,-0.29839,-0.083069
0.3504,-0.12695,-3.4084
-0.9334,0.48678,-1.7451
0.55888,2.556,1.8031
1.9947,0.6484,1.7918
2.6637,0.71435,1.2553
2.2465,-0.10925,0.68707
1.7192,0.81489,-0.12251
1.5486,1.1969,0.97617
1.9588,-0.11641,1.9226
2.3942,0.091182,0.23619
1.3915,0.20345,-0.68648
0.63043,0.77086,-1.5673
0.55964,1.553,-0.1888
0.49798,1.3482,-1.1629
0.37978,1.0163,-0.57534
0.34674,-0.27155,-1.0187
0.40078,1.8179,-1.2271
0.32797,1.3203,-0.052261
0.65607,1.538,-0.42938
1.0845,0.96081,0.83687
1.519,0.064054,-0.29426
1.0303,0.6635,-0.37354
0.77733,0.27344,-0.76925
0.70687,1.5972,-1.0976
0.86475,1.6366,0.68847
1.4174,0.90832,0.049832
1.3338,1.0751,0.33727
1.487,1.4818,0.9076
1.3995,0.53294,0.17377
1.2614,0.33479,-0.53001
0.83555,0.16552,-0.3264
0.57035,-0.26011,-1.6446
0.44033,-0.33093,0.0020121
0.85776,-0.10287,-1.1158
0.60872,0.41118,-0.27654
0.74314,-0.63197,-0.96618
0.31385,0.79223,-1.6148
-0.42462,0.73595,-2.4221
-0.46589,1.1889,-0.44265
0.74212,3.0781,0.84414
1.0179,1.4283,0.49002
1.0746,0.9272,0.15902
0.52174,0.62778,-1.9553
0.35578,-0.20007,0.54626
1.6039,1.3903,1.1181
1.9771,2.2368,0.85936
1.6771,0.9174,0.68499
1.3466,-0.8658,-0.39729
0.70019,0.59121,-2.3755
0.56687,-0.31311,1.5966
1.9157,0.14225,0.16426
0.96113,0.95968,-1.5645
0.16985,0.082105,-0.86848
-0.11997,1.3081,-2.7455
-0.22044,1.8382,0.52126
1.1991,2.7533,1.3189
1.7449,0.63549,0.93658
1.6692,0.0045062,-0.083354
